month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2004-04,Iowa,3777,NA,26,2586,NA,1,13,0,3,NA,3,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6552
2004-04,Kansas,0,NA,2094,3674,NA,166,0,6,3,NA,269,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6650
2004-04,Kentucky,0,NA,5297,8055,NA,407,0,6,12,NA,1099,1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16778
2004-04,Louisiana,0,NA,3830,3864,NA,195,0,3,3,NA,752,1121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9768
2004-04,Maine,0,NA,1105,2107,NA,83,0,5,34,NA,35,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3495
2004-04,Mariana Islands,0,NA,0,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2004-04,Maryland,2030,NA,60,3194,NA,15,1,1,1,NA,38,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5425
2004-04,Massachusetts,4373,NA,1753,1232,NA,67,2004,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9429
2004-04,Michigan,12288,NA,3195,11559,NA,52,0,0,20,NA,0,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27351
2004-04,Minnesota,4967,NA,3769,9351,NA,110,0,0,2,NA,77,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18774
2004-04,Mississippi,0,NA,2908,3273,NA,142,0,56,98,NA,858,1371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8706
2004-04,Missouri,0,NA,4433,9766,NA,140,0,0,9,NA,199,1434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15981
